filepath,speaker,label,dataset
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_eMOtXQehpFc_005__9e80fc9a8f.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_eMOtXQehpFc_006__9afb48da5c.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_eMOtXQehpFc_007__8479cb9774.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_001__134070a5b0.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_002__900aab7464.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_003__36801fa8f0.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_004__64fbf10fc8.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_005__b3665dbf6c.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_006__de78fbcdd5.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_007__2a5365bc81.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_VqXuq2i5ChY_008__8ca6276597.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_P-zMP4Tzres_001__21ff549aac.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_P-zMP4Tzres_002__124eab120f.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_001__36b017b932.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_002__e24c8bfd2f.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_003__c9dfa92a16.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_004__06a5aab11e.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_005__d69972f77f.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_006__53a2884619.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_007__4cdd05dc54.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/John_Finucane_Sinn_Fein_Belfast_North_PLqMNUVyPhk_008__6c48339b76.wav,John Finucane,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_9bR3z_VTlnw_001__5986903f26.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_9bR3z_VTlnw_002__98f3796a34.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_de5ZlHg10Kc_001__2df641354a.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_de5ZlHg10Kc_002__7f1d9ea80c.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_de5ZlHg10Kc_003__61e4f3dcd9.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_de5ZlHg10Kc_004__8d4e40b6a8.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_de5ZlHg10Kc_005__e5de7e5d12.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_Wml7M2XqFXg_001__92b8bfb305.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_Wml7M2XqFXg_002__39e2c776ca.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_Wml7M2XqFXg_003__035a0d3e7d.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_Wml7M2XqFXg_004__61bc4fe3a0.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_Wml7M2XqFXg_005__67738fb36e.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_vD9_fbDatQA_001__78b222240e.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_vD9_fbDatQA_002__b292e11f63.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_yx8iq7grAiM_001__4e11c793b0.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Claire_Hanna_Social_Democratic__Labour_Party_Belfast_South_and_Mid_Down_yx8iq7grAiM_002__842711dc71.wav,Claire Hanna,Connacht,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_7iIqyh9_My8_001__ba80803278.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_7iIqyh9_My8_002__dfb1b8f6aa.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_7iIqyh9_My8_003__e491a4c614.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_7iIqyh9_My8_004__ddd523ba94.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_7iIqyh9_My8_005__13f39dc978.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_7iIqyh9_My8_006__c7f6f71315.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_iGLOa7lGKdo_001__3233e5a3e9.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_iGLOa7lGKdo_002__17014fd151.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_2jg99J2JiHo_001__c41fbbf9be.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_2jg99J2JiHo_003__2abbb3c193.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_2jg99J2JiHo_004__aca59367bc.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_Vz3eTy4YEMk_001__e2a4c22d0e.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Paul_Maskey_Sinn_Fein_Belfast_West_Vz3eTy4YEMk_002__82f5a8e17d.wav,Paul Maskey,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_001__194e9f4c8a.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_002__df8f738973.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_003__54980a4a6b.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_004__3f34fd257f.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_005__e99a688861.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_006__e822b9f448.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_007__d122a1974b.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_008__127dad814e.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_009__46c34d37f5.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_010__78c54cbdc1.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_011__9ea878c478.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_012__09b2d49eba.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_013__d79edbaed0.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_014__b4f2a64baa.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_015__de30a106ac.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_016__a0f450070d.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_017__8eea8a73d1.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_018__c3d9bfc9d4.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_019__677f4cf4f4.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_nO1XWFwuKyk_020__306d24835f.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_Xzr2x2ImYd4_001__5b9fdb74bb.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_Xzr2x2ImYd4_002__89f01bae5e.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_BW3oRHzpzCo_001__c6226bce19.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_BW3oRHzpzCo_002__0b4cab3126.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_BW3oRHzpzCo_003__6b1b8c9d15.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_BW3oRHzpzCo_004__cd765d9d7f.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_BW3oRHzpzCo_005__f1dd1df0cc.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_BW3oRHzpzCo_006__d211e1d84c.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_W2Nw9WFGT2g_001__4e6d15fea0.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_W2Nw9WFGT2g_002__b4aeb17481.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_YSAS2_jZJro_001__8589590270.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_YSAS2_jZJro_002__07402aeed7.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_YSAS2_jZJro_003__e8a8692c58.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_YSAS2_jZJro_004__dfe832a0a6.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_YSAS2_jZJro_005__12177dcf0e.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_YSAS2_jZJro_006__ffdff3d5d5.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Sammy_Wilson_Democratic_Unionist_Party_East_Antrim_YSAS2_jZJro_007__007f4933c7.wav,Sammy Wilson,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gregory_Campbell_Democratic_Unionist_Party_East_Londonderry_ys8uy2V1uIY_001__660704caf1.wav,Gregory Campbell,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gregory_Campbell_Democratic_Unionist_Party_East_Londonderry_vNKDDk4ugGE_001__3147df18eb.wav,Gregory Campbell,Ulster,NI
/Users/cianan/Documents/College/GitHub/FYP/Data/segments_clean_lufs10s/Gregory_Campbell_Democratic_Unionist_Party_East_Londonderry_vNKDDk4ugGE_002__dcddf05dcc.wav,Gregory Campbell,Ulster,NI
